户型,楼层,面积,装修情况,价格,小区,区域,配置电梯,挂牌时间,房屋用途,单价
5室4厅,底层/共2层,214.33,复式/其他,350,世外桃苑,平谷,无,2022年08月13日,普通住宅,16330
4室2厅,底层/共3层,306.17,复式/其他,680,香醍花墅,平谷,无,2021年04月29日,别墅,22210
3室2厅,底层/共6层,93.6,暂无数据/其他,200,金乡西小区,平谷,无,2024年01月03日,普通住宅,21368
2室2厅,低楼层/共17层,85.57,暂无数据/其他,165,紫贵御园,平谷,配备电梯,2024年01月03日,普通住宅,19283
2室1厅,中楼层/共10层,87.07,暂无数据/其他,190,首城汇景湾（梨羊路5号院）,平谷,配备电梯,2023年12月28日,普通住宅,21822
2室1厅,中楼层/共18层,71.22,暂无数据/精装,170,首城汇景湾（梨羊路5号院）,平谷,配备电梯,2023年12月26日,普通住宅,23870
2室1厅,低楼层/共10层,86.1,平层/其他,185,首城汇景湾（梨羊路5号院）,平谷,配备电梯,2023年12月31日,普通住宅,21487
2室2厅,中楼层/共15层,91.36,平层/其他,280,都丽华府,平谷,配备电梯,2023年12月27日,普通住宅,30648
3室1厅,中楼层/共9层,137.29,平层/精装,290,首城汇景湾（梨羊路5号院）,平谷,配备电梯,2023年12月29日,普通住宅,21124
2室2厅,中楼层/共18层,83.82,暂无数据/精装,199,首城汇景湾（梨羊路5号院）,平谷,配备电梯,2023年12月17日,普通住宅,23742
3室2厅,高楼层/共18层,135,平层/精装,320,首城汇景湾（金河北街8号院）,平谷,配备电梯,2024年01月01日,普通住宅,23704
3室2厅,顶层/共6层,101.29,暂无数据/精装,200,乐园西小区,平谷,无,2023年12月06日,普通住宅,19746
3室2厅,顶层/共6层,115.28,暂无数据/精装,190,乐园西小区,平谷,无,2023年12月02日,普通住宅,16482
2室1厅,底层/共3层,74.91,暂无数据/毛坯,255,香醍花墅,平谷,无,2023年11月22日,普通住宅,34041
2室1厅,中楼层/共10层,85.52,平层/毛坯,200,首城汇景湾（梨羊路5号院）,平谷,配备电梯,2023年12月08日,普通住宅,23387
3室2厅,中楼层/共15层,126.34,平层/简装,342,都丽华府,平谷,配备电梯,2023年11月12日,普通住宅,27070
2室1厅,低楼层/共17层,63.87,暂无数据/毛坯,150,紫贵御园,平谷,配备电梯,2023年11月11日,普通住宅,23486
3室1厅,中楼层/共17层,98.51,暂无数据/精装,228,紫贵御园,平谷,配备电梯,2023年12月27日,普通住宅,23145
3室2厅,顶层/共6层,101.29,暂无数据/其他,175,乐园西小区,平谷,无,2023年09月04日,普通住宅,17278
3室2厅,底层/共9层,127.4,暂无数据/精装,355,首城汇景湾（梨羊路5号院）,平谷,配备电梯,2023年07月19日,普通住宅,27865
2室1厅,底层/共2层,45.58,暂无数据/精装,99,世外桃苑,平谷,无,2023年04月02日,普通住宅,21721
