户型,楼层,面积,装修情况,价格,小区,区域,房屋朝向,配置电梯,挂牌时间,房屋用途,单价
3室1厅,低楼层/共14层,151.32平米,平层/精装,1040.0,中海墅,亦庄开发区,房屋朝向,配备电梯,"2023年09月15日
                                                                            ","普通住宅
                                                                            ",68729
2室2厅,高楼层/共16层,124平米,平层/简装,698.0,一品亦庄,亦庄开发区,房屋朝向,配备电梯,"2023年08月04日
                                                                            ","普通住宅
                                                                            ",56291
1室1厅,低楼层/共22层,59.02平米,平层/精装,199.0,南海雅苑北区,亦庄开发区,房屋朝向,配备电梯,"2023年07月13日
                                                                            ","普通住宅
                                                                            ",33718
3室1厅,底层/共6层,100.39平米,平层/其他,550.0,贵园南里乙区,亦庄开发区,房屋朝向,,"2023年07月15日
                                                                            ","普通住宅
                                                                            ",54787
1室1厅,底层/共11层,72.09平米,平层/简装,310.0,定海园一里,亦庄开发区,房屋朝向,,"2023年06月12日
                                                                            ","普通住宅
                                                                            ",43002
3室2厅,中楼层/共6层,160.92平米,平层/精装,759.0,星岛嘉园,亦庄开发区,房屋朝向,,"2023年05月31日
                                                                            ","普通住宅
                                                                            ",47167
3室2厅,底层/共6层,99.81平米,平层/精装,499.0,贵园南里乙区,亦庄开发区,房屋朝向,,"2023年05月22日
                                                                            ","普通住宅
                                                                            ",49995
2室1厅,底层/共9层,85.46平米,平层/简装,550.0,郁金香舍,亦庄开发区,房屋朝向,配备电梯,"2023年05月06日
                                                                            ","普通住宅
                                                                            ",64358
1室1厅,高楼层/共11层,74.61平米,平层/简装,350.0,定海园三里,亦庄开发区,房屋朝向,配备电梯,"2023年04月26日
                                                                            ","普通住宅
                                                                            ",46911
3室1厅,中楼层/共7层,128.57平米,平层/简装,670.0,新康家园,亦庄开发区,房屋朝向,,"2023年04月24日
                                                                            ","普通住宅
                                                                            ",52112
2室1厅,低楼层/共21层,72.98平米,平层/简装,330.0,中信悦海苑,亦庄开发区,房屋朝向,配备电梯,"2023年04月17日
                                                                            ","普通住宅
                                                                            ",45218
1室1厅,低楼层/共8层,52.31平米,平层/简装,405.0,听涛雅苑,亦庄开发区,房屋朝向,配备电梯,"2023年04月15日
                                                                            ","普通住宅
                                                                            ",77424
2室1厅,低楼层/共24层,92.82平米,平层/精装,680.0,林肯公园,亦庄开发区,房屋朝向,配备电梯,"2023年04月02日
                                                                            ","普通住宅
                                                                            ",73261
2室1厅,中楼层/共22层,74.29平米,平层/精装,280.0,南海雅苑北区,亦庄开发区,房屋朝向,配备电梯,"2023年03月31日
                                                                            ","普通住宅
                                                                            ",37691
3室1厅,高楼层/共10层,130.43平米,平层/精装,798.0,中信新城东区,亦庄开发区,房屋朝向,配备电梯,"2023年03月31日
                                                                            ","普通住宅
                                                                            ",61183
1室1厅,中楼层/共22层,60.83平米,平层/简装,230.0,南海雅苑北区,亦庄开发区,房屋朝向,配备电梯,"2023年03月15日
                                                                            ","普通住宅
                                                                            ",37811
3室2厅,中楼层/共16层,168.35平米,平层/其他,850.0,一品亦庄,亦庄开发区,房屋朝向,配备电梯,"2023年03月11日
                                                                            ","普通住宅
                                                                            ",50491
1室1厅,高楼层/共6层,59.82平米,平层/简装,324.0,贵园南里丙区,亦庄开发区,房屋朝向,,"2023年03月22日
                                                                            ","普通住宅
                                                                            ",54163
2室2厅,高楼层/共11层,115.64平米,平层/精装,670.0,一品亦庄,亦庄开发区,房屋朝向,配备电梯,"2023年02月19日
                                                                            ","普通住宅
                                                                            ",57939
1室1厅,低楼层/共16层,61.55平米,平层/简装,185.0,南海雅苑南区,亦庄开发区,房屋朝向,配备电梯,"2023年02月08日
                                                                            ","普通住宅
                                                                            ",30057
3室2厅,低楼层/共15层,152.54平米,平层/简装,768.0,新康家园,亦庄开发区,房屋朝向,配备电梯,"2022年11月26日
                                                                            ","普通住宅
                                                                            ",50348
2室1厅,中楼层/共9层,86.43平米,平层/精装,560.0,郁金香舍,亦庄开发区,房屋朝向,配备电梯,"2022年11月12日
                                                                            ","普通住宅
                                                                            ",64793
2室2厅,顶层/共5层,108.98平米,平层/简装,770.0,金地格林小镇,亦庄开发区,房屋朝向,,"2022年05月08日
                                                                            ","普通住宅
                                                                            ",70656
5室1厅,中楼层/共5层,322平米,平层/简装,1420.0,瀛海庄园,亦庄开发区,房屋朝向,配备电梯,"2021年06月23日
                                                                            ","普通住宅
                                                                            ",44100
3室1厅,中楼层/共7层,128.57平米,平层/简装,660.0,新康家园,亦庄开发区,房屋朝向,,"2023年12月29日
                                                                            ","普通住宅
                                                                            ",51334
1室1厅,高楼层/共6层,58.73平米,平层/其他,333.0,贵园北里戊区,亦庄开发区,房屋朝向,,"2023年12月17日
                                                                            ","普通住宅
                                                                            ",56701
3室3厅,底层/共4层,308.27平米,跃层/精装,1850.0,中海墅,亦庄开发区,房屋朝向,,"2023年12月12日
                                                                            ","普通住宅
                                                                            ",60013
2室1厅,高楼层/共15层,83.74平米,平层/精装,525.0,北京经开汀塘,亦庄开发区,房屋朝向,配备电梯,"2023年12月02日
                                                                            ","普通住宅
                                                                            ",62695
2室2厅,低楼层/共9层,67.26平米,复式/精装,314.0,林肯公寓,亦庄开发区,房屋朝向,配备电梯,"2023年11月30日
                                                                            ","公寓
                                                                            ",46685
3室2厅,中楼层/共5层,162.16平米,平层/简装,800.0,米兰天空,亦庄开发区,房屋朝向,,"2023年11月26日
                                                                            ","普通住宅
                                                                            ",49334
1室1厅,底层/共16层,60.37平米,平层/简装,210.0,南海雅苑南区,亦庄开发区,房屋朝向,配备电梯,"2023年11月24日
                                                                            ","普通住宅
                                                                            ",34786
4室2厅,高楼层/共7层,176.79平米,复式/简装,760.0,新康家园,亦庄开发区,房屋朝向,,"2023年11月23日
                                                                            ","普通住宅
                                                                            ",42989
2室2厅,顶层/共6层,91.73平米,复式/精装,530.0,瀛景园,亦庄开发区,房屋朝向,,"2023年11月21日
                                                                            ","普通住宅
                                                                            ",57779
2室1厅,低楼层/共21层,72.93平米,平层/精装,330.0,中信悦海苑,亦庄开发区,房屋朝向,配备电梯,"2023年11月15日
                                                                            ","普通住宅
                                                                            ",45249
3室1厅,中楼层/共11层,156.49平米,平层/精装,798.0,春华屋,亦庄开发区,房屋朝向,配备电梯,"2023年11月05日
                                                                            ","普通住宅
                                                                            ",50994
3室1厅,中楼层/共8层,114.45平米,平层/简装,680.0,听涛雅苑,亦庄开发区,房屋朝向,配备电梯,"2023年11月10日
                                                                            ","普通住宅
                                                                            ",59415
2室2厅,底层/共6层,92.74平米,平层/简装,630.0,瀛景园,亦庄开发区,房屋朝向,,"2023年11月04日
                                                                            ","普通住宅
                                                                            ",67932
1室1厅,低楼层/共22层,60.03平米,平层/简装,220.0,南海雅苑北区,亦庄开发区,房屋朝向,配备电梯,"2023年11月01日
                                                                            ","普通住宅
                                                                            ",36649
2室1厅,顶层/共23层,46.96平米,复式/简装,235.0,国融国际,亦庄开发区,房屋朝向,配备电梯,"2023年11月01日
                                                                            ","公寓
                                                                            ",50043
2室2厅,中楼层/共15层,83.74平米,平层/精装,523.0,北京经开汀塘,亦庄开发区,房屋朝向,配备电梯,"2023年10月27日
                                                                            ","普通住宅
                                                                            ",62456
1室1厅,高楼层/共21层,53.04平米,平层/其他,179.0,国融国际,亦庄开发区,房屋朝向,配备电梯,"2023年10月03日
                                                                            ","公寓
                                                                            ",33749
4室2厅,中楼层/共5层,180.87平米,复式/精装,1060.0,金地格林小镇,亦庄开发区,房屋朝向,,"2023年09月27日
                                                                            ","普通住宅
                                                                            ",58606
3室2厅,中楼层/共8层,101.39平米,平层/精装,579.0,听涛雅苑,亦庄开发区,房屋朝向,配备电梯,"2023年09月17日
                                                                            ","普通住宅
                                                                            ",57107
3室2厅,顶层/共6层,122.83平米,复式/精装,645.0,梅园小区,亦庄开发区,房屋朝向,,"2023年10月16日
                                                                            ","普通住宅
                                                                            ",52512
2室1厅,高楼层/共15层,81.69平米,平层/精装,518.0,通泰国际公馆,亦庄开发区,房屋朝向,配备电梯,"2023年12月10日
                                                                            ","普通住宅
                                                                            ",63411
1室0厅,中楼层/共23层,33.36平米,平层/精装,157.0,国融国际,亦庄开发区,房屋朝向,配备电梯,"2023年08月14日
                                                                            ","公寓
                                                                            ",47063
1室1厅,中楼层/共23层,46.96平米,平层/精装,176.0,国融国际,亦庄开发区,房屋朝向,配备电梯,"2023年08月17日
                                                                            ","公寓
                                                                            ",37479
2室1厅,中楼层/共6层,87.64平米,平层/简装,418.0,富源里,亦庄开发区,房屋朝向,,"2023年08月02日
                                                                            ","普通住宅
                                                                            ",47696
3室1厅,高楼层/共24层,104.28平米,平层/简装,440.0,博客雅居,亦庄开发区,房屋朝向,配备电梯,"2023年07月16日
                                                                            ","公寓
                                                                            ",42195
3室1厅,低楼层/共14层,91.25平米,平层/其他,595.0,北京经开壹中心,亦庄开发区,房屋朝向,配备电梯,"2023年07月08日
                                                                            ","普通住宅
                                                                            ",65206
1室1厅,高楼层/共23层,46.96平米,暂无数据/其他,185.0,国融国际,亦庄开发区,房屋朝向,配备电梯,"2023年08月10日
                                                                            ","公寓
                                                                            ",39396
3室2厅,高楼层/共9层,162.33平米,平层/精装,968.0,上海沙龙,亦庄开发区,房屋朝向,配备电梯,"2023年12月25日
                                                                            ","普通住宅
                                                                            ",59632
2室2厅,低楼层/共8层,82.25平米,平层/简装,528.0,听涛雅苑,亦庄开发区,房屋朝向,配备电梯,"2023年07月02日
                                                                            ","普通住宅
                                                                            ",64195
4室1厅,底层/共3层,294.88平米,复式/简装,1350.0,卡尔生活馆,亦庄开发区,房屋朝向,,"2023年09月27日
                                                                            ","普通住宅
                                                                            ",45782
