户型,楼层,面积,装修情况,价格,小区,区域,配置电梯,挂牌时间,房屋用途,单价
1室1厅,中楼层/共4层,46.79,平层/简装,190,青塔芳园,丰台,无,2023年12月10日,普通住宅,40607
2室1厅,高楼层/共8层,96.62,平层/精装,760,大成郡,丰台,配备电梯,2023年12月10日,普通住宅,78659
2室1厅,底层/共6层,56.7,平层/精装,388,北大地四里,丰台,无,2023年12月16日,普通住宅,68431
2室1厅,低楼层/共22层,91.08,平层/简装,519,三环新城6号院,丰台,配备电梯,2023年12月11日,普通住宅,56983
2室1厅,低楼层/共6层,56.2,平层/其他,305,六营门小区,丰台,无,2023年12月09日,普通住宅,54271
1室1厅,低楼层/共16层,53.92,平层/简装,256,彩虹城三区,丰台,配备电梯,2023年12月17日,普通住宅,47478
2室1厅,高楼层/共6层,62.12,平层/精装,318,青塔秀园,丰台,无,2023年12月10日,普通住宅,51192
3室1厅,中楼层/共14层,134.69,平层/简装,960,鑫兆雅园北区,丰台,配备电梯,2023年12月15日,普通住宅,71275
1室2厅,中楼层/共16层,76.83,平层/精装,389,建欣苑六里,丰台,配备电梯,2023年12月08日,普通住宅,50632
2室1厅,低楼层/共20层,99.53,平层/简装,498,京华苑,丰台,配备电梯,2023年12月09日,普通住宅,50036
2室1厅,低楼层/共20层,105.45,平层/精装,610,星河城东区,丰台,配备电梯,2023年12月08日,普通住宅,57848
2室1厅,中楼层/共10层,95.16,平层/精装,670,丽水园,丰台,配备电梯,2023年12月23日,普通住宅,70408
2室1厅,低楼层/共6层,74.78,平层/精装,589,紫芳园一区,丰台,无,2023年12月08日,普通住宅,78765
3室1厅,高楼层/共12层,66.6,平层/精装,408,马家堡西里,丰台,配备电梯,2023年12月09日,普通住宅,61262
2室1厅,低楼层/共17层,77.92,平层/简装,575,周庄子家园,丰台,配备电梯,2023年12月12日,普通住宅,73794
2室1厅,顶层/共6层,55.76,平层/精装,298,太平桥东里,丰台,无,2023年12月07日,普通住宅,53444
2室1厅,底层/共6层,69.8,平层/精装,466,六里桥10号院,丰台,无,2023年12月07日,普通住宅,66763
2室1厅,中楼层/共5层,55.65,平层/简装,248,卢沟桥北里,丰台,无,2023年12月12日,普通住宅,44565
2室1厅,中楼层/共6层,78.18,平层/精装,498,鑫宝苑,丰台,无,2023年12月16日,普通住宅,63700
1室1厅,低楼层/共20层,48.84,平层/毛坯,148,红山郡,丰台,配备电梯,2023年12月08日,普通住宅,30304
2室1厅,中楼层/共24层,74.39,平层/精装,498,蒲安东里,丰台,配备电梯,2023年12月16日,普通住宅,66945
2室2厅,底层/共11层,119.89,平层/简装,599,益辰欣园,丰台,配备电梯,2023年12月07日,普通住宅,49963
3室2厅,中楼层/共24层,140.93,平层/精装,830,东丽温泉,丰台,配备电梯,2023年12月09日,普通住宅,58895
1室0厅,高楼层/共20层,47.81,平层/简装,215,天伦锦城,丰台,配备电梯,2023年12月22日,普通住宅,44970
3室1厅,中楼层/共7层,83.14,平层/简装,508,梅源里小区,丰台,无,2023年12月06日,普通住宅,61102
3室1厅,底层/共6层,74.8,平层/简装,388,西马金润二区,丰台,无,2023年12月05日,普通住宅,51872
1室0厅,中楼层/共28层,23.75,平层/简装,163,世纪金色嘉园,丰台,配备电梯,2023年12月23日,普通住宅,68632
3室2厅,低楼层/共19层,144.07,平层/精装,520,程庄南里,丰台,配备电梯,2023年12月08日,普通住宅,36094
2室1厅,中楼层/共6层,54.7,平层/简装,268,角门东里,丰台,无,2023年12月09日,普通住宅,48995
1室1厅,低楼层/共27层,55.67,平层/简装,395,西局玉园,丰台,配备电梯,2023年12月06日,普通住宅,70954
3室1厅,中楼层/共6层,77.25,平层/简装,417,育仁里2号院,丰台,无,2023年12月04日,普通住宅,53981
1室1厅,中楼层/共20层,43.18,平层/简装,226,芳群园四区,丰台,配备电梯,2023年12月05日,普通住宅,52340
2室1厅,顶层/共4层,59.2,平层/简装,348,芳古园一区,丰台,无,2023年12月04日,普通住宅,58784
2室1厅,中楼层/共16层,62.72,平层/简装,336,南庭新苑北区,丰台,配备电梯,2023年12月20日,普通住宅,53572
2室1厅,中楼层/共27层,98.93,平层/简装,500,华富丽苑,丰台,配备电梯,2023年12月06日,普通住宅,50541
2室1厅,底层/共6层,96.65,平层/简装,560,富锦嘉园五区,丰台,无,2023年12月04日,普通住宅,57942
2室2厅,中楼层/共6层,76.24,平层/简装,469,晨新园,丰台,无,2023年12月04日,普通住宅,61517
2室1厅,高楼层/共21层,79.43,平层/精装,459,顶秀欣园东苑,丰台,配备电梯,2023年12月03日,普通住宅,57787
1室1厅,中楼层/共32层,46.39,平层/简装,299,gogo新世代,丰台,配备电梯,2023年12月04日,普通住宅,64454
3室1厅,中楼层/共16层,87.8,平层/简装,465,定安西里,丰台,配备电梯,2023年12月03日,普通住宅,52962
3室2厅,中楼层/共8层,138.08,平层/简装,780,和光里,丰台,配备电梯,2023年12月03日,普通住宅,56489
1室1厅,低楼层/共6层,43.93,平层/简装,280,莲怡园一区,丰台,无,2023年12月23日,普通住宅,63738
2室1厅,中楼层/共24层,87.26,平层/简装,388,汇锦苑,丰台,配备电梯,2023年12月03日,普通住宅,44465
2室1厅,顶层/共9层,64.62,平层/精装,285,石榴园北里小区,丰台,配备电梯,2023年12月14日,普通住宅,44104
2室1厅,中楼层/共6层,57.2,平层/精装,288,角门东里,丰台,无,2023年12月09日,普通住宅,50350
2室1厅,中楼层/共7层,71.97,平层/精装,329,银地家园,丰台,无,2023年12月02日,普通住宅,45714
1室1厅,低楼层/共25层,52.37,平层/精装,271,宋家庄家园一区,丰台,配备电梯,2023年12月02日,普通住宅,51748
2室1厅,底层/共6层,50.85,平层/简装,380,太平桥小区,丰台,无,2023年12月04日,普通住宅,74730
1室0厅,中楼层/共26层,48.21,平层/精装,203,设计师广场,丰台,配备电梯,2023年12月09日,普通住宅,42108
2室1厅,高楼层/共22层,95.61,平层/精装,599,彩虹城四区,丰台,配备电梯,2023年12月02日,普通住宅,62651
3室1厅,中楼层/共28层,151.51,平层/简装,980,怡海花园恒泰园,丰台,配备电梯,2023年12月03日,普通住宅,64683
2室1厅,中楼层/共6层,58.7,平层/精装,360,草桥矿冶小区,丰台,无,2023年12月02日,普通住宅,61329
2室1厅,中楼层/共16层,61.97,平层/简装,364,左右坊,丰台,配备电梯,2023年12月03日,普通住宅,58739
3室1厅,高楼层/共21层,89.38,平层/精装,599,首开华润花香四季,丰台,配备电梯,2023年12月02日,普通住宅,67018
2室1厅,中楼层/共29层,81.31,平层/简装,515,首开华润花香四季,丰台,配备电梯,2023年12月02日,普通住宅,63338
2室1厅,底层/共5层,51.03,平层/简装,230,高庄子小区,丰台,无,2023年12月03日,普通住宅,45072
1室1厅,高楼层/共28层,50.45,平层/精装,200,丰泽家园,丰台,配备电梯,2023年12月08日,普通住宅,39644
2室1厅,中楼层/共14层,92.8,平层/精装,605,彩虹城三区,丰台,配备电梯,2023年12月03日,普通住宅,65194
1室1厅,中楼层/共6层,59.93,平层/其他,220,南苑北里二区,丰台,无,2023年11月30日,普通住宅,36710
2室1厅,低楼层/共6层,58.4,平层/简装,367,太平桥东里,丰台,无,2023年12月09日,普通住宅,62843
2室1厅,中楼层/共7层,68.18,平层/精装,303,银地家园,丰台,无,2023年11月29日,普通住宅,44442
2室1厅,低楼层/共9层,95.95,平层/其他,495,小井润园一区,丰台,配备电梯,2023年12月01日,普通住宅,51590
1室1厅,高楼层/共23层,27.01,平层/简装,199,gogo新世代,丰台,配备电梯,2023年11月29日,普通住宅,73677
1室1厅,中楼层/共29层,56.5,平层/精装,308,首开华润花香四季,丰台,配备电梯,2023年12月01日,普通住宅,54514
